Date,Low,Open,Volume,High,Close,Adjusted Close
10-06-2021,14.0,14.0,0,14.0,14.0,14.0
11-06-2021,14.0,14.0,0,14.0,14.0,14.0
14-06-2021,14.0,14.0,0,14.0,14.0,14.0
15-06-2021,14.0,14.0,0,14.0,14.0,14.0
16-06-2021,14.0,14.0,0,14.0,14.0,14.0
17-06-2021,14.0,14.0,0,14.0,14.0,14.0
18-06-2021,14.0,14.0,0,14.0,14.0,14.0
21-06-2021,14.0,14.0,0,14.0,14.0,14.0
22-06-2021,14.0,14.0,0,14.0,14.0,14.0
23-06-2021,14.0,14.0,0,14.0,14.0,14.0
24-06-2021,14.0,14.0,0,14.0,14.0,14.0
25-06-2021,14.0,14.0,0,14.0,14.0,14.0
28-06-2021,14.0,14.0,0,14.0,14.0,14.0
29-06-2021,14.0,14.0,0,14.0,14.0,14.0
30-06-2021,14.0,14.0,0,14.0,14.0,14.0
01-07-2021,14.0,14.0,0,14.0,14.0,14.0
02-07-2021,14.0,14.0,0,14.0,14.0,14.0
06-07-2021,14.0,14.0,0,14.0,14.0,14.0
07-07-2021,14.0,14.0,0,14.0,14.0,14.0
08-07-2021,14.0,14.0,0,14.0,14.0,14.0
09-07-2021,14.0,14.0,0,14.0,14.0,14.0
12-07-2021,14.0,14.0,0,14.0,14.0,14.0
13-07-2021,14.0,14.0,0,14.0,14.0,14.0
14-07-2021,14.0,14.0,0,14.0,14.0,14.0
15-07-2021,14.0,14.0,0,14.0,14.0,14.0
16-07-2021,14.0,14.0,0,14.0,14.0,14.0
19-07-2021,14.0,14.0,0,14.0,14.0,14.0
20-07-2021,14.0,14.0,0,14.0,14.0,14.0
21-07-2021,14.0,14.0,0,14.0,14.0,14.0
22-07-2021,14.0,14.0,0,14.0,14.0,14.0
23-07-2021,14.0,14.0,0,14.0,14.0,14.0
26-07-2021,14.0,14.0,0,14.0,14.0,14.0
27-07-2021,14.0,14.0,0,14.0,14.0,14.0
28-07-2021,14.0,14.0,0,14.0,14.0,14.0
29-07-2021,14.0,14.0,0,14.0,14.0,14.0
30-07-2021,14.0,14.0,0,14.0,14.0,14.0
02-08-2021,14.0,14.0,0,14.0,14.0,14.0
03-08-2021,14.0,14.0,0,14.0,14.0,14.0
04-08-2021,14.0,14.0,0,14.0,14.0,14.0
05-08-2021,14.0,14.0,0,14.0,14.0,14.0
06-08-2021,14.0,14.0,0,14.0,14.0,14.0
09-08-2021,14.0,14.0,0,14.0,14.0,14.0
10-08-2021,14.0,14.0,0,14.0,14.0,14.0
11-08-2021,14.0,14.0,0,14.0,14.0,14.0
12-08-2021,14.0,14.0,0,14.0,14.0,14.0
13-08-2021,14.0,14.0,0,14.0,14.0,14.0
16-08-2021,14.0,14.0,0,14.0,14.0,14.0
17-08-2021,14.0,14.0,0,14.0,14.0,14.0
18-08-2021,14.0,14.0,0,14.0,14.0,14.0
19-08-2021,14.0,14.0,0,14.0,14.0,14.0
20-08-2021,14.0,14.0,0,14.0,14.0,14.0
23-08-2021,14.0,14.0,0,14.0,14.0,14.0
24-08-2021,14.0,14.0,0,14.0,14.0,14.0
25-08-2021,14.0,14.0,0,14.0,14.0,14.0
26-08-2021,14.0,14.0,0,14.0,14.0,14.0
27-08-2021,14.0,14.0,0,14.0,14.0,14.0
30-08-2021,14.0,14.0,0,14.0,14.0,14.0
31-08-2021,14.0,14.0,0,14.0,14.0,14.0
01-09-2021,14.0,14.0,0,14.0,14.0,14.0
02-09-2021,14.0,14.0,0,14.0,14.0,14.0
03-09-2021,14.0,14.0,0,14.0,14.0,14.0
07-09-2021,14.0,14.0,0,14.0,14.0,14.0
08-09-2021,14.0,14.0,0,14.0,14.0,14.0
09-09-2021,14.0,14.0,0,14.0,14.0,14.0
10-09-2021,14.0,14.0,0,14.0,14.0,14.0
13-09-2021,14.0,14.0,0,14.0,14.0,14.0
14-09-2021,14.0,14.0,0,14.0,14.0,14.0
15-09-2021,14.0,14.0,0,14.0,14.0,14.0
16-09-2021,14.0,14.0,0,14.0,14.0,14.0
17-09-2021,14.0,14.0,0,14.0,14.0,14.0
20-09-2021,14.0,14.0,0,14.0,14.0,14.0
21-09-2021,14.0,14.0,0,14.0,14.0,14.0
22-09-2021,14.0,14.0,0,14.0,14.0,14.0
23-09-2021,14.0,14.0,0,14.0,14.0,14.0
24-09-2021,14.0,14.0,0,14.0,14.0,14.0
27-09-2021,14.0,14.0,0,14.0,14.0,14.0
28-09-2021,14.0,14.0,0,14.0,14.0,14.0
29-09-2021,14.0,14.0,0,14.0,14.0,14.0
30-09-2021,14.0,14.0,0,14.0,14.0,14.0
01-10-2021,14.0,14.0,0,14.0,14.0,14.0
04-10-2021,14.0,14.0,0,14.0,14.0,14.0
05-10-2021,14.0,14.0,0,14.0,14.0,14.0
06-10-2021,14.0,14.0,0,14.0,14.0,14.0
07-10-2021,14.0,14.0,0,14.0,14.0,14.0
08-10-2021,14.0,14.0,0,14.0,14.0,14.0
11-10-2021,14.0,14.0,0,14.0,14.0,14.0
12-10-2021,14.0,14.0,0,14.0,14.0,14.0
13-10-2021,14.0,14.0,0,14.0,14.0,14.0
14-10-2021,14.0,14.0,0,14.0,14.0,14.0
15-10-2021,14.0,14.0,0,14.0,14.0,14.0
18-10-2021,14.0,14.0,0,14.0,14.0,14.0
19-10-2021,14.0,14.0,0,14.0,14.0,14.0
20-10-2021,14.0,14.0,0,14.0,14.0,14.0
21-10-2021,14.0,14.0,0,14.0,14.0,14.0
22-10-2021,14.0,14.0,0,14.0,14.0,14.0
25-10-2021,14.0,14.0,0,14.0,14.0,14.0
26-10-2021,14.0,14.0,0,14.0,14.0,14.0
27-10-2021,14.0,14.0,0,14.0,14.0,14.0
28-10-2021,14.0,14.0,0,14.0,14.0,14.0
29-10-2021,14.0,14.0,0,14.0,14.0,14.0
01-11-2021,14.0,14.0,0,14.0,14.0,14.0
02-11-2021,14.0,14.0,0,14.0,14.0,14.0
03-11-2021,14.0,14.0,0,14.0,14.0,14.0
04-11-2021,14.0,14.0,0,14.0,14.0,14.0
05-11-2021,14.0,14.0,0,14.0,14.0,14.0
08-11-2021,14.0,14.0,0,14.0,14.0,14.0
09-11-2021,14.0,14.0,0,14.0,14.0,14.0
10-11-2021,14.0,14.0,0,14.0,14.0,14.0
11-11-2021,14.0,14.0,0,14.0,14.0,14.0
12-11-2021,14.0,14.0,0,14.0,14.0,14.0
15-11-2021,14.0,14.0,0,14.0,14.0,14.0
16-11-2021,14.0,14.0,0,14.0,14.0,14.0
17-11-2021,14.0,14.0,0,14.0,14.0,14.0
18-11-2021,14.0,14.0,0,14.0,14.0,14.0
19-11-2021,14.0,14.0,0,14.0,14.0,14.0
22-11-2021,14.0,14.0,0,14.0,14.0,14.0
23-11-2021,14.0,14.0,0,14.0,14.0,14.0
24-11-2021,14.0,14.0,0,14.0,14.0,14.0
26-11-2021,14.0,14.0,0,14.0,14.0,14.0
29-11-2021,14.0,14.0,0,14.0,14.0,14.0
30-11-2021,14.0,14.0,0,14.0,14.0,14.0
01-12-2021,14.0,14.0,0,14.0,14.0,14.0
02-12-2021,14.0,14.0,0,14.0,14.0,14.0
03-12-2021,14.0,14.0,0,14.0,14.0,14.0
06-12-2021,14.0,14.0,0,14.0,14.0,14.0
07-12-2021,14.0,14.0,0,14.0,14.0,14.0
08-12-2021,14.0,14.0,0,14.0,14.0,14.0
09-12-2021,14.0,14.0,0,14.0,14.0,14.0
10-12-2021,14.0,14.0,0,14.0,14.0,14.0
13-12-2021,14.0,14.0,0,14.0,14.0,14.0
14-12-2021,14.0,14.0,0,14.0,14.0,14.0
15-12-2021,14.0,14.0,0,14.0,14.0,14.0
16-12-2021,14.0,14.0,0,14.0,14.0,14.0
17-12-2021,14.0,14.0,0,14.0,14.0,14.0
20-12-2021,14.0,14.0,0,14.0,14.0,14.0
21-12-2021,14.0,14.0,0,14.0,14.0,14.0
22-12-2021,14.0,14.0,0,14.0,14.0,14.0
23-12-2021,14.0,14.0,0,14.0,14.0,14.0
27-12-2021,14.0,14.0,0,14.0,14.0,14.0
28-12-2021,14.0,14.0,0,14.0,14.0,14.0
29-12-2021,14.0,14.0,0,14.0,14.0,14.0
30-12-2021,14.0,14.0,0,14.0,14.0,14.0
31-12-2021,14.0,14.0,0,14.0,14.0,14.0
03-01-2022,14.0,14.0,0,14.0,14.0,14.0
04-01-2022,14.0,14.0,0,14.0,14.0,14.0
05-01-2022,14.0,14.0,0,14.0,14.0,14.0
06-01-2022,14.0,14.0,0,14.0,14.0,14.0
07-01-2022,14.0,14.0,0,14.0,14.0,14.0
10-01-2022,14.0,14.0,0,14.0,14.0,14.0
11-01-2022,14.0,14.0,0,14.0,14.0,14.0
12-01-2022,14.0,14.0,0,14.0,14.0,14.0
13-01-2022,19.61000061035156,19.61000061035156,5000,19.61000061035156,19.61000061035156,19.61000061035156
14-01-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
18-01-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
19-01-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
20-01-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
21-01-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
24-01-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
25-01-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
26-01-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
27-01-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
28-01-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
31-01-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
01-02-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
02-02-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
03-02-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
04-02-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
07-02-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
08-02-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
09-02-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
10-02-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
11-02-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
14-02-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
15-02-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
16-02-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
17-02-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
18-02-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
22-02-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
23-02-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
24-02-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
25-02-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
28-02-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
01-03-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
02-03-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
03-03-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
04-03-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
07-03-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
08-03-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
09-03-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
10-03-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
11-03-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
14-03-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
15-03-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
16-03-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
17-03-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
18-03-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
21-03-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
22-03-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
23-03-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
24-03-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
25-03-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
28-03-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
29-03-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
30-03-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
31-03-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
01-04-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
04-04-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
05-04-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
06-04-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
07-04-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
08-04-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
11-04-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
12-04-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
13-04-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
14-04-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
18-04-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
19-04-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
20-04-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
21-04-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
22-04-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
25-04-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
26-04-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
27-04-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
28-04-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
29-04-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
02-05-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
03-05-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
04-05-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
05-05-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
06-05-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
09-05-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
10-05-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
11-05-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
12-05-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
13-05-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
16-05-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
17-05-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
18-05-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
19-05-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
20-05-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
23-05-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
24-05-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
25-05-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
26-05-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
27-05-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
31-05-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
01-06-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
02-06-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
03-06-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
06-06-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
07-06-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
08-06-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
09-06-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
10-06-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
13-06-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
14-06-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
15-06-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
16-06-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
17-06-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
21-06-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
22-06-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
23-06-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
24-06-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
27-06-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
28-06-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
29-06-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
30-06-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
01-07-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
05-07-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
06-07-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
07-07-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
08-07-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
11-07-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
12-07-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
13-07-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
14-07-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
15-07-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
18-07-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
19-07-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
20-07-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
21-07-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
22-07-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
25-07-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
26-07-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
27-07-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
28-07-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
29-07-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
01-08-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
02-08-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
03-08-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
04-08-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
05-08-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
08-08-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
09-08-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
10-08-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
11-08-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
12-08-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
15-08-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
16-08-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
17-08-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
18-08-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
19-08-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
22-08-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
23-08-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
24-08-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
25-08-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
26-08-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
29-08-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
30-08-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
31-08-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
01-09-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
02-09-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
06-09-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
07-09-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
08-09-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
09-09-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
12-09-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
13-09-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
14-09-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
15-09-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
16-09-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
19-09-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
20-09-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
21-09-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
22-09-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
23-09-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
26-09-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
27-09-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
28-09-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
29-09-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
30-09-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
03-10-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
04-10-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
05-10-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
06-10-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
07-10-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
10-10-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
11-10-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
12-10-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
13-10-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
14-10-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
17-10-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
18-10-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
19-10-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
20-10-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
21-10-2022,19.61000061035156,19.61000061035156,0,19.61000061035156,19.61000061035156,19.61000061035156
